structure,structure_id,action,freq,ref_area,time_period,obs_value,unit_measure,unit_mult,time_format,compilation,decimals,source_ref,supp_info_breaks,title,obs_status,obs_conf,obs_pre_break
dataflow,BIS:WS_CBPOL(1.0): Central bank policy rates,I,M: Monthly,GB: United Kingdom,1946-01,2,368: Per cent per year,0: Units,NA,From 3 Aug 2006 onwards: official bank rate; from 6 May 1997 to 2 Aug 2006: repo rate; from 20 Aug 1981 to 5 May 1997: minimum Bank of England Band 1 dealing rate; from 16 Oct 1972 to 19 Aug 1981: minimum lending rate; from 1 Jan 1946 to 15 Oct 1972: bank rate.,4: Four,Bank of England,NA,Central bank policy rates - United Kingdom - Monthly - End of period,A: Normal value,F: Free,NA
dataflow,BIS:WS_CBPOL(1.0): Central bank policy rates,I,M: Monthly,GB: United Kingdom,1946-02,2,368: Per cent per year,0: Units,NA,From 3 Aug 2006 onwards: official bank rate; from 6 May 1997 to 2 Aug 2006: repo rate; from 20 Aug 1981 to 5 May 1997: minimum Bank of England Band 1 dealing rate; from 16 Oct 1972 to 19 Aug 1981: minimum lending rate; from 1 Jan 1946 to 15 Oct 1972: bank rate.,4: Four,Bank of England,NA,Central bank policy rates - United Kingdom - Monthly - End of period,A: Normal value,F: Free,NA
dataflow,BIS:WS_CBPOL(1.0): Central bank policy rates,I,M: Monthly,GB: United Kingdom,1946-03,2,368: Per cent per year,0: Units,NA,From 3 Aug 2006 onwards: official bank rate; from 6 May 1997 to 2 Aug 2006: repo rate; from 20 Aug 1981 to 5 May 1997: minimum Bank of England Band 1 dealing rate; from 16 Oct 1972 to 19 Aug 1981: minimum lending rate; from 1 Jan 1946 to 15 Oct 1972: bank rate.,4: Four,Bank of England,NA,Central bank policy rates - United Kingdom - Monthly - End of period,A: Normal value,F: Free,NA
dataflow,BIS:WS_CBPOL(1.0): Central bank policy rates,I,M: Monthly,GB: United Kingdom,1946-04,2,368: Per cent per year,0: Units,NA,From 3 Aug 2006 onwards: official bank rate; from 6 May 1997 to 2 Aug 2006: repo rate; from 20 Aug 1981 to 5 May 1997: minimum Bank of England Band 1 dealing rate; from 16 Oct 1972 to 19 Aug 1981: minimum lending rate; from 1 Jan 1946 to 15 Oct 1972: bank rate.,4: Four,Bank of England,NA,Central bank policy rates - United Kingdom - Monthly - End of period,A: Normal value,F: Free,NA
dataflow,BIS:WS_CBPOL(1.0): Central bank policy rates,I,M: Monthly,GB: United Kingdom,1946-05,2,368: Per cent per year,0: Units,NA,From 3 Aug 2006 onwards: official bank rate; from 6 May 1997 to 2 Aug 2006: repo rate; from 20 Aug 1981 to 5 May 1997: minimum Bank of England Band 1 dealing rate; from 16 Oct 1972 to 19 Aug 1981: minimum lending rate; from 1 Jan 1946 to 15 Oct 1972: bank rate.,4: Four,Bank of England,NA,Central bank policy rates - United Kingdom - Monthly - End of period,A: Normal value,F: Free,NA
dataflow,BIS:WS_CBPOL(1.0): Central bank policy rates,I,M: Monthly,GB: United Kingdom,1946-06,2,368: Per cent per year,0: Units,NA,From 3 Aug 2006 onwards: official bank rate; from 6 May 1997 to 2 Aug 2006: repo rate; from 20 Aug 1981 to 5 May 1997: minimum Bank of England Band 1 dealing rate; from 16 Oct 1972 to 19 Aug 1981: minimum lending rate; from 1 Jan 1946 to 15 Oct 1972: bank rate.,4: Four,Bank of England,NA,Central bank policy rates - United Kingdom - Monthly - End of period,A: Normal value,F: Free,NA
dataflow,BIS:WS_CBPOL(1.0): Central bank policy rates,I,M: Monthly,GB: United Kingdom,1946-07,2,368: Per cent per year,0: Units,NA,From 3 Aug 2006 onwards: official bank rate; from 6 May 1997 to 2 Aug 2006: repo rate; from 20 Aug 1981 to 5 May 1997: minimum Bank of England Band 1 dealing rate; from 16 Oct 1972 to 19 Aug 1981: minimum lending rate; from 1 Jan 1946 to 15 Oct 1972: bank rate.,4: Four,Bank of England,NA,Central bank policy rates - United Kingdom - Monthly - End of period,A: Normal value,F: Free,NA
dataflow,BIS:WS_CBPOL(1.0): Central bank policy rates,I,M: Monthly,GB: United Kingdom,1946-08,2,368: Per cent per year,0: Units,NA,From 3 Aug 2006 onwards: official bank rate; from 6 May 1997 to 2 Aug 2006: repo rate; from 20 Aug 1981 to 5 May 1997: minimum Bank of England Band 1 dealing rate; from 16 Oct 1972 to 19 Aug 1981: minimum lending rate; from 1 Jan 1946 to 15 Oct 1972: bank rate.,4: Four,Bank of England,NA,Central bank policy rates - United Kingdom - Monthly - End of period,A: Normal value,F: Free,NA
dataflow,BIS:WS_CBPOL(1.0): Central bank policy rates,I,M: Monthly,GB: United Kingdom,1946-09,2,368: Per cent per year,0: Units,NA,From 3 Aug 2006 onwards: official bank rate; from 6 May 1997 to 2 Aug 2006: repo rate; from 20 Aug 1981 to 5 May 1997: minimum Bank of England Band 1 dealing rate; from 16 Oct 1972 to 19 Aug 1981: minimum lending rate; from 1 Jan 1946 to 15 Oct 1972: bank rate.,4: Four,Bank of England,NA,Central bank policy rates - United Kingdom - Monthly - End of period,A: Normal value,F: Free,NA
dataflow,BIS:WS_CBPOL(1.0): Central bank policy rates,I,M: Monthly,GB: United Kingdom,1946-10,2,368: Per cent per year,0: Units,NA,From 3 Aug 2006 onwards: official bank rate; from 6 May 1997 to 2 Aug 2006: repo rate; from 20 Aug 1981 to 5 May 1997: minimum Bank of England Band 1 dealing rate; from 16 Oct 1972 to 19 Aug 1981: minimum lending rate; from 1 Jan 1946 to 15 Oct 1972: bank rate.,4: Four,Bank of England,NA,Central bank policy rates - United Kingdom - Monthly - End of period,A: Normal value,F: Free,NA
