structure,structure_id,action,freq,ref_area,unit_measure,time_period,obs_value,unit_mult,time_format,breaks,coverage,decimals,title_ts,obs_conf,obs_pre_break,obs_status
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1922-04,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1922-05,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1922-06,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1922-07,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1922-08,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1922-09,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1922-10,2.810266,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1922-11,2.810266,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1922-12,2.810266,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1923-01,2.810266,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1923-02,2.810266,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1923-03,2.810266,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1923-04,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1923-05,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1923-06,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1923-07,3.018434,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1923-08,3.018434,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1923-09,3.018434,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1923-10,3.018434,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1923-11,3.018434,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1923-12,3.018434,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1924-01,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1924-02,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1924-03,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1924-04,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1924-05,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1924-06,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1924-07,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1924-08,2.91435,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
