structure,structure_id,action,freq,borrowers_cty,tc_borrowers,tc_lenders,valuation,unit_type,tc_adjust,time_period,obs_value,collection,unit_mult,unit_measure,title_ts,decimals,obs_status,obs_pre_break,obs_conf
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1988-Q2,479.629,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1988-Q3,492.921,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1988-Q4,497.259,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1989-Q1,512.816,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1989-Q2,534.001,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1989-Q3,539.983,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1989-Q4,550.107,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1990-Q1,573.725,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1990-Q2,576.105,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1990-Q3,580.321,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1990-Q4,591.908,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1991-Q1,603.062,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1991-Q2,601.782,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1991-Q3,601.711,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1991-Q4,611.418,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1992-Q1,614.385,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1992-Q2,619.367,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1992-Q3,635.299,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1992-Q4,640.934,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1993-Q1,645.619,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1993-Q2,649.67,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1993-Q3,663.014,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1993-Q4,670.751,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1994-Q1,674.579,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1994-Q2,685.749,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1994-Q3,702.464,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1994-Q4,716.603,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1995-Q1,729.09,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1995-Q2,742.716,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1995-Q3,747.483,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1995-Q4,767.06,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1996-Q1,777.88,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1996-Q2,787.365,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1996-Q3,790.519,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1996-Q4,808.854,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1997-Q1,815.084,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1997-Q2,827.882,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1997-Q3,840.872,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1997-Q4,862.524,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1998-Q1,876.65,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1998-Q2,893.99,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1998-Q3,912.668,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1998-Q4,928.996,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1999-Q1,941.538,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1999-Q2,940.267,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1999-Q3,961.764,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,1999-Q4,981.747,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2000-Q1,1002.778,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2000-Q2,1029.352,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2000-Q3,1047.919,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2000-Q4,1080.491,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2001-Q1,1107.954,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2001-Q2,1110,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2001-Q3,1130.53,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2001-Q4,1138.807,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2002-Q1,1147.977,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
